"User/Org","Display Name","Account Type","Followers","Public Repos","Affected Repos","Repo Count","GitHub URL"
"CyberMarinesTeam"," ","Organization","6","6","CyberMarinesTeam/umurava_challenge_frontend; CyberMarinesTeam/vulnerability_backend","2","https://github.com/CyberMarinesTeam"
"DevIbrahim07","MUHAMMAD IBRAHIM ","User","1","39","DevIbrahim07/endless_invo_task; DevIbrahim07/patient-caregiver-dashboard","2","https://github.com/DevIbrahim07"
"Devsed-official"," ","User","0","5","Devsed-official/Visa-agent; Devsed-official/quba","2","https://github.com/Devsed-official"
"fahad-khan11","fahad farman ","User","1","45","fahad-khan11/book-app-backend-node-js; fahad-khan11/ml-fe","2","https://github.com/fahad-khan11"
"Faizanmal","Faizan Malik ","User","0","23","Faizanmal/Dashboard_Webview; Faizanmal/movie_recommender","2","https://github.com/Faizanmal"
"Farazkhanbwn","Faraz Khan  ","User","4","56","Farazkhanbwn/MUI-NextJS-Project-Design; Farazkhanbwn/Todo-App-With-Authentication","2","https://github.com/Farazkhanbwn"
"Harshitpahuja20","Harshit-pahuja-20 ","User","3","24","Harshitpahuja20/play; Harshitpahuja20/studyBack","2","https://github.com/Harshitpahuja20"
"hayan6969","Muhammad Hayan Khan  ","User","0","45","hayan6969/NextJs-Practices; hayan6969/hayan","2","https://github.com/hayan6969"
"hngprojects","HNG Tech ","Organization","301","108","hngprojects/nextjs-starter; hngprojects/reconcile-ai-fe","2","https://github.com/hngprojects"
"hoanghd218","Hoang218 ","User","13","44","hoanghd218/human-interior-a-Ninh; hoanghd218/linh.aloha.video.ai","2","https://github.com/hoanghd218"
"hoangnv170752","Akashi  ","User","59","148","hoangnv170752/Mushroom-Hotpot; hoangnv170752/apollo-search","2","https://github.com/hoangnv170752"
"hosainahmeed","Md. Hosain Alli ","User","7","73","hosainahmeed/Ammur; hosainahmeed/nur-nadiya-website","2","https://github.com/hosainahmeed"
"ifedolapoomoniyi","Ifedolapo Omoniyi ","User","12","34","ifedolapoomoniyi/light-shop; ifedolapoomoniyi/zeeil-web","2","https://github.com/ifedolapoomoniyi"
"iSebasC","Sebastian Cabrera Alcala ","User","0","53","iSebasC/porfolio-sebastian-cabrera; iSebasC/reto-tecnico-interseguro","2","https://github.com/iSebasC"
"LuigiClemente"," ","User","0","29","LuigiClemente/calendar_bookings; LuigiClemente/temp-about-us","2","https://github.com/LuigiClemente"
"maleesha-pramud","Maleesha Pramud ","User","10","27","maleesha-pramud/saloon_guide_backend; maleesha-pramud/typing-dev","2","https://github.com/maleesha-pramud"
"md-hasan1","md hasan akon ","User","5","72","md-hasan1/socail-media-front-end; md-hasan1/sync-with-calender","2","https://github.com/md-hasan1"
"Mukela12","Mukela Katungu ","User","14","72","Mukela12/CGAZ-website; Mukela12/trainer-aide-test","2","https://github.com/Mukela12"
"NyLaurent","Nyumbayire Laurent ","User","91","88","NyLaurent/SolarCrafts; NyLaurent/Talynk","2","https://github.com/NyLaurent"
"okp980","Emmanuel Okpunor ","User","15","85","okp980/dashboard; okp980/portfolio-site","2","https://github.com/okp980"
"oscfcommunity","Open Source Community Foundation [ OSCF ]  ","Organization","36","15","oscfcommunity/osd; oscfcommunity/osd_strapi_cms","2","https://github.com/oscfcommunity"
"owaisrafiq05","Owais Rafiq ","User","49","85","owaisrafiq05/Customer-Support-Frontend; owaisrafiq05/FastGram-Frontend","2","https://github.com/owaisrafiq05"
"PreciousEzeigbo","Precious Ezeigbo  ","User","35","65","PreciousEzeigbo/Account-Abstraction; PreciousEzeigbo/ExtConvert","2","https://github.com/PreciousEzeigbo"
"rakeshkarmaker","Rakesh Karmaker ","User","7","55","rakeshkarmaker/devotion-andreia250472; rakeshkarmaker/visualexstasy-CeleBrease","2","https://github.com/rakeshkarmaker"
"rayhanalmim","Rayhan Al Mim ","User","14","123","rayhanalmim/oveswapclientmainnet; rayhanalmim/xmtp_mvp","2","https://github.com/rayhanalmim"
"ronymia","MD. Rony Mia ","User","2","77","ronymia/doctor-portal-app; ronymia/employee-nexus-backend","2","https://github.com/ronymia"
"Sakshamjain98","Saksham Jain ","User","12","22","Sakshamjain98/Gallera; Sakshamjain98/KBG","2","https://github.com/Sakshamjain98"
"sauverpro","TUYIZERE Jean Sauveur ","User","2","50","sauverpro/citizen-engagement-backend; sauverpro/holiday-planner","2","https://github.com/sauverpro"
